;Abril 2015;;Julho 2015;;Outubro 2015;;Dezembro 2015;;Abril 2016;;Julho 2016;;Outubro 2016;;Novembro 2016;;Fevereiro 2017;;Julho 2017;;Outubro 2017;
Tag;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price;Games with tag;Average Price
Action;2110;12.41$;2345;12.51$;2743;11.58$;3050;11.56$;3414;10.95$;3987;10.5$;4767;10.08$;4897;5.95$;5332;9.79$;6228;5.18$;7091;9.25$
Indie;2384;10.35$;2726;10.13$;3449;8.23$;3638;5.92$;4462;9.12$;5453;8.77$;6271;8.42$;6693;8.42$;7360;8.24$;8824;4.59$;6174;8.89 $
RPG;854;13.11$;949;13.07$;1094;12.58$;1208;12.62$;1400;11.97$;1553;11.91$;1787;11.41$;1871;11.29$;2026;10.87$;2311;5.93$;2558;10.71$
Strategy;1116;13.3$;1218;13.15$;1406;12.75$;1554;12.65$;1745;12.33$;1908;6.41$;2246;11.44$;2366;11.4$;2511;11.22$;2847;5.79$;3215;10.62$
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Number of games;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Abril 2015;Julho 2015;Outubro 2015;Dezembro 2015;Abril 2016;Julho 2016;Outubro 2016;Novembro 2016;Fevereiro 2017;Julho 2017;Outubro 2017;;;;;;;;;;;
Tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;Games with tag;;;;;;;;;;;
Action;2110;2345;2743;3050;3414;3987;4767;4897;5332;6228;7091;;;;;;;;;;;
Indie;2384;2726;3449;3638;4462;5453;6271;6693;7360;8824;6174;;;;;;;;;;;
RPG;854;949;1094;1208;1400;1553;1787;1871;2026;2311;2558;;;;;;;;;;;
Strategy;1116;1218;1406;1554;1745;1908;2246;2366;2511;2847;3215;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Average Price;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Abril 2015;Julho 2015;Outubro 2015;Dezembro 2015;Abril 2016;Julho 2016;Outubro 2016;Novembro 2016;Fevereiro 2017;Julho 2017;Outubro 2017;;;;;;;;;;;
Tag;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;Average Price;;;;;;;;;;;
Action;12.41$;12.51$;11.58$;11.56$;10.95$;10.5$;10.08$;5.95$;9.79$;5.18$;9.25$;;;;;;;;;;;
Indie;10.35$;10.13$;8.23$;5.92$;9.12$;8.77$;8.42$;8.42$;8.24$;4.59$;8.89 $;;;;;;;;;;;
RPG;13.11$;13.07$;12.58$;12.62$;11.97$;11.91$;11.41$;11.29$;10.87$;5.93$;10.71$;;;;;;;;;;;
Strategy;13.3$;13.15$;12.75$;12.65$;12.33$;6.41$;11.44$;11.4$;11.22$;5.79$;10.62$;;;;;;;;;;;
